26-07-18 12:10:18.654 - INFO: 
| Class      |   Pixel-AUROC |   Pixel-F1 |   Pixel-AP |   Pixel-AUPRO |   Sample-AUROC |   Sample-F1 |   Sample-AP |
|:-----------|--------------:|-----------:|-----------:|--------------:|---------------:|------------:|------------:|
| candle     |          98.8 |       42.8 |       32.7 |             0 |           88.8 |        83.7 |        91.6 |
| capsules   |          98.5 |       53.9 |       48.8 |             0 |           92   |        90   |        95.6 |
| cashew     |          91.9 |       25.9 |       19.5 |             0 |           83.5 |        83.3 |        92.5 |
| chewinggum |          99.6 |       73.5 |       79.2 |             0 |           98.2 |        96.9 |        99.2 |
| fryum      |          93.3 |       28.3 |       22.3 |             0 |           84.7 |        85.1 |        92.4 |
| macaroni1  |          99.5 |       39.7 |       31.3 |             0 |           81.2 |        76.7 |        82.7 |
| macaroni2  |          98.7 |       13.8 |        7.4 |             0 |           59.1 |        67.1 |        60   |
| pcb1       |          94.2 |       18.1 |       13.1 |             0 |           82.8 |        76.2 |        85.2 |
| pcb2       |          91.6 |       24.9 |       16.7 |             0 |           81.6 |        77   |        82.8 |
| pcb3       |          91.8 |       24.1 |       14.2 |             0 |           72   |        70.4 |        74.9 |
| pcb4       |          95.7 |       35.7 |       30.6 |             0 |           96.9 |        91.6 |        96.2 |
| pipe_fryum |          95.5 |       34.7 |       24.8 |             0 |           95.4 |        91.9 |        97.8 |
| Mean       |          95.8 |       34.6 |       28.4 |             0 |           84.7 |        82.5 |        87.6 |
