26-07-18 12:25:47.986 - INFO: 
| Class      |   Pixel-AUROC |   Pixel-F1 |   Pixel-AP |   Pixel-AUPRO |   Sample-AUROC |   Sample-F1 |   Sample-AP |
|:-----------|--------------:|-----------:|-----------:|--------------:|---------------:|------------:|------------:|
| carpet     |          98.7 |       64.1 |       65.9 |             0 |          100   |       100   |       100   |
| bottle     |          89.7 |       53.3 |       55   |             0 |           94   |        93.1 |        98.1 |
| hazelnut   |          94.7 |       51   |       49.7 |             0 |           98   |        97.1 |        99.1 |
| leather    |          99   |       51.6 |       53   |             0 |          100   |       100   |       100   |
| cable      |          76.8 |       24.6 |       17.7 |             0 |           86.2 |        85.7 |        92.3 |
| capsule    |          95.5 |       34.9 |       30.8 |             0 |           94.3 |        94.3 |        98.9 |
| grid       |          97.2 |       41.9 |       38.7 |             0 |           99.7 |        99.1 |        99.9 |
| pill       |          84.9 |       22.7 |       18.4 |             0 |           70.5 |        91.6 |        93   |
| transistor |          71.1 |       17.7 |       12.2 |             0 |           82.5 |        75.7 |        82.3 |
| metal_nut  |          77.1 |       35.2 |       31.1 |             0 |           83.5 |        89.4 |        96.5 |
| screw      |          98.6 |       41.1 |       38.3 |             0 |           88.5 |        89.5 |        95.7 |
| toothbrush |          95.2 |       37.5 |       31.6 |             0 |           96.9 |        95.1 |        98.8 |
| zipper     |          95.3 |       53.9 |       53.5 |             0 |           93.7 |        92.9 |        98.4 |
| tile       |          92.1 |       66.2 |       63.8 |             0 |           96.1 |        96.5 |        97.9 |
| wood       |          95.5 |       58.8 |       58.7 |             0 |           99.3 |        97.6 |        99.8 |
| Mean       |          90.8 |       43.6 |       41.2 |             0 |           92.2 |        93.2 |        96.7 |
